Fri Jan  9 11:23:00 2026    branch/profil/profiling_results_opt_B.prof

         1566812 function calls (1566762 primitive calls) in 36.840 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      544    0.013    0.000    0.032    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/numeric.py:2330(within_tol)
     2186    0.004    0.000    0.027    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2421(all)
    13540    0.025    0.000    0.025    0.000 /usr/lib/python3.12/ctypes/__init__.py:517(cast)
     3264    0.018    0.000    0.024    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:413(_can_dot)
     2209    0.010    0.000    0.023    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
   201729    0.022    0.000    0.022    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.021    0.021 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:843(get_init_guess)
        1    0.000    0.000    0.021    0.021 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:1935(get_init_guess)
        1    0.000    0.000    0.021    0.021 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/uhf.py:852(init_guess_by_minao)
        1    0.000    0.000    0.021    0.021 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:345(init_guess_by_minao)
    13526    0.020    0.000    0.020    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/_internal.py:250(__init__)
        2    0.000    0.000    0.020    0.010 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/scf/hf.py:363(minao_basis)
        2    0.000    0.000    0.020    0.010 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/basis/__init__.py:579(load)
        2    0.000    0.000    0.019    0.010 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/basis/parse_nwchem.py:98(load)
        2    0.000    0.000    0.019    0.010 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/gto/basis/parse_nwchem.py:156(search_seg)
      827    0.003    0.000    0.017    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/pyscf/lib/numpy_helper.py:1338(tag_array)
     9792    0.006    0.000    0.017    0.000 {built-in method builtins.sum}
    13056    0.007    0.000    0.016    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:18(_flop_count)
      593    0.003    0.000    0.016    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/scipy/_lib/_util.py:410(_asarray_validated)
     2819    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    45696    0.014    0.000    0.014    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:56(_compute_size_by_dict)
     1110    0.013    0.000    0.013    0.000 {method 'view' of 'numpy.ndarray' objects}
    79842    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
     3046    0.010    0.000    0.010    0.000 {built-in method numpy.zeros}
      816    0.006    0.000    0.009    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:523(_parse_einsum_input)
      592    0.003    0.000    0.009    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/lib/function_base.py:564(asarray_chkfinite)
    24480    0.005    0.000    0.009    0.000 /mnt/c/Users/tobia/Desktop/Clones/optimized_virtual_orbitals/.venv/lib/python3.12/site-packages/numpy/core/einsumfunc.py:257(<genexpr>)
