         199956 function calls (199900 primitive calls) in 0.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.001    0.000 numpy_helper.py:741(ddot)
       21    0.001    0.000    0.001    0.000 files.py:221(make_fid)
       98    0.000    0.000    0.001    0.000 _util.py:410(_asarray_validated)
        8    0.000    0.000    0.001    0.000 diis.py:244(extrapolate)
       21    0.000    0.000    0.001    0.000 files.py:647(__exit__)
       42    0.001    0.000    0.001    0.000 files.py:622(close)
    12649    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       65    0.001    0.000    0.001    0.000 numpy_helper.py:896(_dgemm)
       13    0.001    0.000    0.001    0.000 moleintor.py:475(getints2c)
        1    0.000    0.000    0.001    0.001 mp2.py:610(kernel)
       23    0.000    0.000    0.001    0.000 <frozen genericpath>:27(isfile)
       23    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        5    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 chkfile.py:179(save_mol)
       63    0.000    0.000    0.001    0.000 twodim_base.py:366(tri)
        8    0.000    0.000    0.001    0.000 mole.py:3528(intor_symmetric)
      126    0.000    0.000    0.001    0.000 twodim_base.py:1115(<genexpr>)
       63    0.000    0.000    0.001    0.000 twodim_base.py:963(<genexpr>)
       21    0.001    0.000    0.001    0.000 {built-in method scipy.linalg._matfuncs_expm.pade_UV_calc}
      119    0.000    0.000    0.001    0.000 fromnumeric.py:71(_wrapreduction)
       97    0.000    0.000    0.001    0.000 function_base.py:564(asarray_chkfinite)
       21    0.001    0.000    0.001    0.000 linalg.py:492(inv)
      546    0.000    0.000    0.001    0.000 _internal.py:267(data_as)
       92    0.000    0.000    0.001    0.000 linalg.py:2383(norm)
       52    0.000    0.000    0.001    0.000 lapack.py:1025(_compute_lwork)
     4014    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.001    0.001 mole.py:2710(make_env)
        1    0.000    0.000    0.001    0.001 mole.py:1040(make_env)
       21    0.000    0.000    0.001    0.000 base.py:31(is_hdf5)
       22    0.000    0.000    0.000    0.000 ovos_start_over.py:237(spatial_to_spin_mo_energy)
      659    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      561    0.000    0.000    0.000    0.000 __init__.py:517(cast)
        1    0.000    0.000    0.000    0.000 ump2.py:472(ao2mo)
       21    0.000    0.000    0.000    0.000 ovos_start_over.py:1411(spin_to_spatial_mo)
        1    0.000    0.000    0.000    0.000 ump2.py:543(_make_eris)
        1    0.000    0.000    0.000    0.000 addons.py:580(project_mo_nr2nr)
       21    0.000    0.000    0.000    0.000 ovos_start_over.py:1379(spatial_to_spin_mo)
        2    0.000    0.000    0.000    0.000 mole.py:995(make_bas_env)
       21    0.000    0.000    0.000    0.000 files.py:116(make_fapl)
       21    0.000    0.000    0.000    0.000 {built-in method scipy.linalg._matfuncs_expm.pick_pade_structure}
       42    0.000    0.000    0.000    0.000 fromnumeric.py:2177(sum)
       10    0.000    0.000    0.000    0.000 uhf.py:284(get_occ)
     1501    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      604    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       21    0.000    0.000    0.000    0.000 group.py:518(__contains__)
      659    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 ump2.py:488(init_amps)
       63    0.000    0.000    0.000    0.000 numeric.py:1673(indices)
        1    0.000    0.000    0.000    0.000 ump2.py:35(kernel)
       10    0.000    0.000    0.000    0.000 uhf.py:819(get_grad)
       10    0.000    0.000    0.000    0.000 uhf.py:325(get_grad)
        2    0.000    0.000    0.000    0.000 hf.py:1824(get_hcore)
     2494    0.000    0.000    0.000    0.000 einsumfunc.py:1001(_einsum_dispatcher)
        2    0.000    0.000    0.000    0.000 hf.py:313(get_hcore)
       97    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
     2340    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.000    0.000 hf.py:1828(get_ovlp)
       14    0.000    0.000    0.000    0.000 mole.py:2395(nelectron)
        3    0.000    0.000    0.000    0.000 hf.py:339(get_ovlp)
      363    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.000    0.000 hf.py:291(energy_tot)
       10    0.000    0.000    0.000    0.000 group.py:42(create_group)
       14    0.000    0.000    0.000    0.000 mole.py:1173(tot_electrons)
        2    0.000    0.000    0.000    0.000 parse_nwchem.py:105(_parse)
       13    0.000    0.000    0.000    0.000 mole.py:2378(nelec)
      330    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.000    0.000 moleintor.py:822(make_cintopt)
       81    0.000    0.000    0.000    0.000 base.py:176(_e)
